Time,Row,Column,SitesChecked,CohortsKilled,Severity,SitesEventchap,SitesEventoaks,SitesEventcss,BurnedSites,
1, 5, 331, 378, 17109, 4.07142857142857, 17, 351, 10, 378, 
1, 37, 304, 715, 16056, 4.31608391608392, 175, 489, 51, 715, 
1, 43, 112, 1612, 54492, 4.9894540942928, 1539, 17, 56, 1612, 
1, 102, 154, 818, 34568, 4.90097799511002, 721, 81, 16, 818, 
1, 141, 23, 405, 17507, 4.74814814814815, 296, 102, 7, 405, 
1, 166, 176, 2827, 97765, 4.99221789883268, 2757, 22, 48, 2827, 
1, 177, 85, 1024, 42459, 4.7568359375, 671, 249, 104, 1024, 
1, 208, 40, 1246, 50926, 4.78491171749599, 923, 268, 55, 1246, 
1, 236, 214, 113, 4771, 5, 108, 0, 5, 113, 
1, 246, 184, 2214, 94145, 4.96657633242999, 2085, 74, 55, 2214, 
1, 251, 223, 827, 35497, 4.88270858524788, 714, 97, 16, 827, 
1, 290, 300, 1694, 69718, 5, 1539, 0, 155, 1694, 
1, 294, 32, 121, 5203, 5, 121, 0, 0, 121, 
1, 299, 69, 3085, 131714, 4.99708265802269, 3029, 9, 47, 3085, 
2, 115, 74, 219, 9173, 4.68949771689498, 151, 68, 0, 219, 
2, 129, 74, 1806, 61871, 4.8327796234773, 1424, 302, 80, 1806, 
2, 174, 366, 4183, 158737, 4.90604829070045, 3404, 393, 386, 4183, 
2, 192, 265, 1760, 73083, 4.96647727272727, 1667, 59, 34, 1760, 
2, 195, 124, 111, 3743, 5, 111, 0, 0, 111, 
3, 20, 170, 1164, 36992, 4.87457044673539, 1031, 48, 85, 1164, 
3, 59, 279, 226, 4513, 4.75663716814159, 153, 55, 18, 226, 
3, 128, 219, 1805, 68395, 4.9983379501385, 1686, 3, 116, 1805, 
3, 145, 258, 1952, 76327, 4.99282786885246, 1701, 14, 237, 1952, 
3, 157, 47, 1933, 66811, 4.82100362131402, 1620, 258, 55, 1933, 
3, 208, 111, 2024, 81937, 4.91551383399209, 1834, 163, 27, 2024, 
3, 231, 278, 1990, 82928, 4.99396984924623, 1986, 4, 0, 1990, 
3, 239, 346, 723, 29604, 4.86998616874136, 593, 94, 36, 723, 
3, 263, 332, 307, 12808, 5, 307, 0, 0, 307, 
3, 265, 168, 187, 7693, 4.83422459893048, 160, 23, 4, 187, 
4, 12, 229, 264, 4367, 4.3219696969697, 105, 115, 44, 264, 
4, 13, 202, 348, 4683, 4.00574712643678, 126, 80, 142, 348, 
4, 98, 319, 326, 7640, 5, 271, 0, 55, 326, 
4, 126, 169, 932, 38034, 4.91523605150215, 846, 55, 31, 932, 
4, 132, 22, 3370, 133816, 4.88961424332344, 2986, 268, 116, 3370, 
4, 189, 34, 370, 14484, 4.49189189189189, 163, 169, 38, 370, 
4, 253, 139, 923, 38251, 5, 918, 0, 5, 923, 
4, 275, 231, 2437, 96840, 4.94419368075503, 2260, 40, 137, 2437, 
5, 8, 144, 1434, 45513, 4.88912133891213, 1332, 3, 99, 1434, 
5, 144, 103, 1841, 44566, 4.79956545355785, 1544, 230, 67, 1841, 
6, 55, 185, 738, 27979, 4.99051490514905, 618, 7, 113, 738, 
6, 62, 97, 1319, 49413, 4.86656557998484, 1214, 50, 55, 1319, 
6, 90, 274, 725, 14920, 4.94620689655172, 499, 39, 187, 725, 
6, 144, 136, 1444, 34269, 4.71191135734072, 1208, 233, 3, 1444, 
6, 158, 10, 403, 16357, 4.63275434243176, 246, 133, 24, 403, 
6, 158, 341, 24, 39, 1, 14, 2, 8, 24, 
7, 29, 73, 111, 4453, 4.97297297297297, 111, 0, 0, 111, 
7, 38, 56, 1677, 58505, 4.86583184257603, 1289, 209, 179, 1677, 
7, 152, 312, 1082, 38166, 4.84011090573013, 885, 8, 189, 1082, 
7, 305, 83, 46, 139, 2.06521739130435, 46, 0, 0, 46, 
8, 36, 18, 1060, 41659, 4.94056603773585, 980, 55, 25, 1060, 
8, 65, 153, 1753, 64935, 4.89617798060468, 1600, 63, 90, 1753, 
8, 115, 175, 2, 5, 1, 2, 0, 0, 2, 
8, 265, 113, 3769, 138230, 4.72433006102414, 3586, 55, 128, 3769, 
9, 19, 197, 902, 11960, 4.21840354767184, 391, 156, 355, 902, 
9, 225, 156, 414, 15754, 4.81884057971014, 413, 0, 1, 414, 
9, 258, 346, 2099, 72600, 4.47689375893283, 1727, 271, 101, 2099, 
9, 290, 217, 2, 4, 2, 2, 0, 0, 2, 
9, 298, 314, 22, 40, 2, 22, 0, 0, 22, 
10, 48, 368, 222, 9088, 4.32432432432432, 51, 150, 21, 222, 
10, 143, 232, 447, 13226, 4.19910514541387, 429, 4, 14, 447, 
10, 159, 92, 6, 10, 2, 6, 0, 0, 6, 
10, 263, 70, 1465, 48543, 4.63481228668942, 1287, 3, 175, 1465, 
10, 273, 217, 3, 7, 2, 3, 0, 0, 3, 
11, 77, 220, 287, 6053, 4.91289198606272, 207, 25, 55, 287, 
11, 81, 100, 1765, 48085, 4.80056657223796, 1530, 68, 167, 1765, 
11, 115, 231, 241, 800, 2.21161825726141, 221, 0, 20, 241, 
11, 166, 258, 754, 19918, 3.99602122015915, 543, 74, 137, 754, 
11, 217, 295, 1, 2, 2, 1, 0, 0, 1, 
11, 231, 174, 1651, 33638, 3.97516656571775, 1520, 34, 97, 1651, 
11, 289, 284, 1, 2, 3, 1, 0, 0, 1, 
12, 4, 345, 327, 12601, 4.25688073394495, 90, 209, 28, 327, 
12, 5, 54, 2920, 68492, 4.09794520547945, 2915, 0, 5, 2920, 
12, 69, 315, 226, 3853, 4.61504424778761, 84, 87, 55, 226, 
12, 83, 262, 468, 6914, 4.87820512820513, 221, 6, 241, 468, 
12, 86, 243, 111, 1603, 5, 56, 0, 55, 111, 
12, 98, 253, 1225, 28309, 3.75183673469388, 1074, 33, 118, 1225, 
12, 116, 353, 442, 16538, 4.93438914027149, 358, 29, 55, 442, 
12, 142, 126, 70, 122, 2.12857142857143, 58, 0, 12, 70, 
12, 251, 197, 1833, 19501, 3.43698854337152, 1703, 68, 62, 1833, 
12, 266, 121, 2, 2, 1, 2, 0, 0, 2, 
12, 272, 312, 416, 11980, 4.51923076923077, 304, 0, 112, 416, 
13, 19, 279, 378, 12425, 4.57142857142857, 168, 161, 49, 378, 
13, 34, 321, 620, 13686, 4.38709677419355, 199, 244, 177, 620, 
13, 55, 233, 78, 1618, 4.15384615384615, 12, 66, 0, 78, 
