Time,TotalSitesBurned,NumberFires,EcoCounts_chap,EcoCounts_oaks,EcoCounts_css,
1, 17079, 14, 14695, 1759, 625, 
2, 8079, 5, 6757, 822, 500, 
3, 12311, 10, 11071, 662, 578, 
4, 8970, 8, 7675, 727, 568, 
5, 3275, 2, 2876, 233, 166, 
6, 4653, 6, 3799, 464, 390, 
7, 2916, 4, 2331, 217, 368, 
8, 6584, 4, 6168, 173, 243, 
9, 3439, 5, 2555, 427, 457, 
10, 2143, 5, 1776, 157, 210, 
11, 4700, 7, 4023, 201, 476, 
12, 8040, 11, 6865, 432, 743, 
13, 7269, 8, 5725, 815, 729, 
14, 3102, 6, 2144, 623, 335, 
15, 4727, 6, 3983, 378, 366, 
16, 3846, 3, 3592, 77, 177, 
17, 2686, 4, 2424, 41, 221, 
18, 5114, 9, 4167, 172, 775, 
19, 5378, 5, 4860, 319, 199, 
20, 5367, 10, 4283, 608, 476, 
21, 2217, 7, 1684, 178, 355, 
22, 1078, 3, 967, 55, 56, 
23, 2937, 5, 2410, 323, 204, 
24, 9159, 7, 8201, 356, 602, 
25, 25785, 12, 24043, 936, 806, 
26, 1210, 2, 1134, 46, 30, 
27, 4259, 5, 3699, 402, 158, 
28, 1432, 5, 1041, 271, 120, 
29, 430, 1, 375, 0, 55, 
30, 2693, 6, 2290, 190, 213, 
31, 5474, 3, 5020, 204, 250, 
32, 2969, 5, 1893, 336, 740, 
33, 6322, 5, 5575, 274, 473, 
34, 8515, 8, 7692, 437, 386, 
35, 7209, 6, 6372, 316, 521, 
36, 942, 2, 391, 225, 326, 
37, 5716, 7, 4474, 678, 564, 
38, 3549, 2, 3008, 240, 301, 
39, 3900, 2, 3453, 193, 254, 
40, 1594, 3, 1428, 33, 133, 
41, 3717, 5, 3175, 274, 268, 
42, 3914, 5, 3294, 351, 269, 
43, 771, 5, 544, 148, 79, 
44, 7883, 10, 7244, 348, 291, 
45, 2874, 6, 2318, 221, 335, 
46, 886, 3, 814, 0, 72, 
47, 9284, 6, 8205, 545, 534, 
48, 6739, 9, 6156, 220, 363, 
49, 7617, 6, 6384, 485, 748, 
50, 654, 2, 256, 296, 102, 
