FID,landcover,geology,winter_rad3,all_rad3,flowcum3
0,4,3,1,2,1
1,0,4,2,3,2
2,11,5,3,3,2
3,1,1,3,3,1
4,1,1,3,2,1
5,4,5,3,3,1
6,1,2,2,1,2
7,4,5,2,2,2
8,1,1,2,3,2
9,1,2,2,2,1
10,10,1,3,2,1
11,3,1,3,2,2
12,1,1,3,3,1
13,3,1,2,2,1
14,1,1,3,2,1
15,1,1,2,3,1
16,6,4,3,3,1
17,1,1,2,2,1
18,10,1,3,3,2
19,1,3,2,2,1
20,3,3,3,3,1
21,13,4,2,2,2
22,3,3,1,1,1
23,4,2,2,2,1
24,4,5,2,2,1
25,1,2,2,2,1
26,14,1,3,2,1
27,4,5,3,2,1
28,1,3,2,2,1
29,4,2,2,1,1
30,4,2,2,2,2
31,1,1,3,2,1
32,0,1,3,3,2
33,1,2,3,2,1
34,1,2,3,2,1
35,10,4,3,3,1
36,3,5,3,3,1
37,4,5,3,3,1
38,3,2,2,2,1
39,1,1,2,3,1
40,1,3,3,2,1
41,4,3,2,2,1
42,3,2,2,2,1
43,14,1,3,3,2
44,10,2,2,2,2
45,1,2,3,3,2
46,11,5,3,3,1
47,10,4,2,3,2
48,12,4,2,2,2
49,1,4,2,3,2
50,4,2,3,2,1
51,1,4,2,2,1
52,1,3,3,3,1
53,10,4,3,3,1
54,1,3,3,3,1
55,1,1,3,2,1
56,4,3,3,2,1
57,3,3,2,1,2
58,1,1,2,2,1
59,4,2,1,1,1
60,3,1,1,2,1
61,11,5,3,3,1
62,1,3,3,3,1
63,12,4,2,2,1
64,1,3,3,2,1
65,1,2,2,2,2
66,4,1,2,2,1
67,1,4,3,3,1
68,4,2,2,1,1
69,4,1,3,3,1
70,1,5,3,3,2
71,1,1,3,3,1
72,1,3,3,3,1
73,4,2,2,2,1
74,4,3,3,2,1
75,1,1,3,2,1
76,12,5,2,2,1
77,1,3,2,2,2
78,6,4,2,2,1
79,1,1,2,2,1
80,1,1,3,3,1
81,4,5,2,2,1
82,1,3,3,2,1
83,1,4,3,2,1
84,1,2,2,2,1
85,1,2,3,3,1
86,4,3,2,2,1
87,1,1,3,2,1
88,4,1,3,2,1
89,14,4,2,3,2
90,12,5,2,2,1
91,1,1,3,2,2
92,1,3,3,2,1
93,1,3,2,2,1
94,12,1,2,2,1
95,11,5,3,3,1
96,1,1,3,2,1
97,4,5,3,3,1
98,11,5,3,3,1
99,1,1,2,3,1
100,11,4,2,2,3
101,14,1,3,3,1
102,4,3,3,3,1
103,1,2,3,2,1
104,4,2,1,1,1
105,3,3,2,2,2
106,1,2,3,2,1
107,10,2,2,2,2
108,1,2,3,2,1
109,4,2,3,2,1
110,4,2,2,2,2
111,1,3,3,3,1
112,3,3,2,2,2
113,1,2,3,2,1
114,5,4,2,2,1
115,4,2,3,2,1
116,8,5,3,3,1
117,1,3,3,3,1
118,3,3,3,3,1
119,4,3,3,3,1
120,3,5,3,3,2
121,2,3,2,2,1
122,11,5,3,3,1
123,1,1,2,2,1
124,1,2,3,3,1
125,4,5,3,2,1
126,1,3,3,3,1
127,3,5,3,3,1
128,4,2,2,2,2
129,6,4,3,3,2
130,14,1,2,2,2
131,0,3,2,2,1
132,3,2,3,2,1
133,1,1,2,2,1
134,1,3,2,2,2
135,10,4,3,3,3
136,3,3,3,2,1
137,4,5,3,3,1
138,3,5,3,3,1
139,4,2,3,3,1
140,4,2,3,2,2
141,1,2,3,2,1
142,4,2,2,2,1
143,4,1,3,3,2
144,4,2,3,2,2
145,4,3,3,2,1
146,0,2,2,2,1
147,4,2,3,2,2
148,1,3,2,2,2
149,1,2,2,2,2
150,14,1,3,3,1
151,10,4,2,2,1
152,10,4,3,3,1
153,1,1,2,2,1
154,4,1,2,2,1
155,3,3,2,1,1
156,3,3,3,3,1
157,10,1,3,2,2
158,14,4,3,3,3
159,3,1,3,3,1
160,4,2,2,2,1
161,4,1,2,2,1
162,4,1,3,2,1
163,14,1,2,2,1
164,4,5,3,3,2
165,4,2,3,2,1
166,1,3,3,2,1
167,4,1,2,2,1
168,3,2,1,1,1
169,1,1,2,2,1
170,3,3,2,1,2
171,5,5,3,3,1
172,1,3,3,3,2
173,3,5,3,3,1
174,5,4,3,2,1
175,3,2,1,2,1
176,4,1,2,2,1
177,1,5,3,3,1
178,10,1,2,2,1
179,4,2,1,2,1
180,3,1,3,2,2
181,1,3,2,2,1
182,14,2,2,3,2
183,2,2,1,1,1
184,1,5,2,2,1
185,1,3,3,3,1
186,1,1,3,2,1
187,1,2,2,2,3
188,10,4,2,2,1
189,3,3,3,3,1
190,3,3,2,2,1
191,4,4,2,2,2
192,8,3,2,1,1
193,10,4,3,2,1
194,1,1,3,2,1
195,4,3,3,2,1
196,3,1,3,2,1
197,14,2,2,2,2
198,10,4,2,3,1
199,4,3,3,2,1
200,3,2,3,3,1
201,1,3,3,3,1
202,4,3,3,3,1
203,1,1,3,2,1
204,11,5,3,3,1
205,3,3,1,1,1
206,1,5,3,3,1
207,1,3,3,2,1
208,11,5,3,3,1
209,3,5,3,3,2
210,1,1,2,2,1
211,4,2,3,2,3
212,1,2,2,2,2
213,1,3,2,2,1
214,4,2,2,2,1
215,14,1,3,3,1
216,4,1,3,3,1
217,1,4,2,2,1
218,1,3,2,2,1
219,10,1,3,3,1
220,3,3,3,1,1
221,4,3,2,3,1
222,8,5,3,2,2
223,4,2,2,1,1
224,1,2,3,2,1
225,11,5,3,3,2
226,4,2,2,1,1
227,2,3,2,1,1
228,8,5,3,3,1
229,4,1,3,2,2
230,1,1,3,2,1
231,1,2,2,2,1
232,3,3,2,1,2
233,1,1,1,2,1
234,4,3,3,3,1
235,2,3,2,2,1
236,3,5,2,2,1
237,3,2,1,1,1
238,4,1,3,2,1
239,10,2,3,3,1
240,4,3,3,3,2
241,0,2,2,3,1
242,1,2,3,2,1
243,4,2,3,2,1
244,4,3,2,1,1
245,10,1,3,3,1
246,4,1,2,3,1
247,10,1,3,2,2
248,1,2,3,2,1
249,14,1,3,2,1
250,1,3,3,2,1
251,4,5,3,3,1
252,4,2,2,1,1
253,4,1,3,2,1
254,3,3,1,1,1
255,3,5,3,3,1
256,1,4,2,3,1
257,3,1,2,3,1
258,1,1,2,2,1
259,1,1,2,2,1
260,1,5,3,2,1
261,4,3,3,3,1
262,3,2,2,2,1
263,3,2,2,1,1
264,3,5,3,3,1
265,3,1,2,2,2
266,1,5,3,3,1
267,1,3,3,2,3
268,1,3,2,1,1
269,1,5,3,3,1
270,1,3,3,2,2
271,4,2,2,2,1
272,1,2,3,2,1
273,4,2,3,2,1
274,1,5,3,3,1
275,8,5,3,3,1
276,3,4,2,2,1
277,11,5,3,3,1
278,3,2,2,2,1
279,1,1,2,2,1
280,4,5,2,2,1
281,3,3,2,2,3
282,1,2,3,2,1
283,3,5,3,3,1
284,4,5,3,3,2
285,4,3,1,1,1
286,4,2,2,2,1
287,3,5,3,3,1
288,14,1,3,3,1
289,4,3,3,2,2
290,1,5,3,3,1
291,4,5,3,3,3
292,4,3,3,3,1
293,1,1,2,2,1
294,4,3,3,2,1
295,1,2,2,2,1
296,2,1,3,3,1
297,11,1,2,2,1
298,1,2,3,3,1
299,1,1,3,2,1
300,10,3,2,2,2
301,3,5,3,3,2
302,1,1,3,3,2
303,10,4,3,3,1
304,1,5,3,3,2
305,3,3,2,1,2
306,3,1,3,3,1
307,2,3,2,2,1
308,8,5,3,3,2
309,0,4,3,3,1
310,4,3,1,1,1
311,1,1,2,2,1
312,3,1,3,2,1
313,1,3,2,2,1
314,1,3,2,2,1
315,1,1,3,3,2
316,10,4,2,2,2
317,4,3,3,3,1
318,4,2,2,2,1
319,10,1,2,2,2
320,1,3,1,2,1
321,1,1,2,2,1
322,1,2,2,2,1
323,10,2,3,3,1
324,10,1,2,2,1
325,1,2,2,3,1
326,4,4,2,2,1
327,1,1,3,3,1
328,10,4,2,3,1
329,1,2,3,2,3
330,4,3,3,3,1
331,3,2,2,2,2
332,1,1,3,3,3
333,4,3,2,1,1
334,4,2,2,2,1
335,11,1,2,2,3
336,3,1,1,1,1
337,1,1,3,3,1
338,4,3,3,3,1
339,4,3,2,1,2
340,3,1,2,2,1
341,8,5,3,3,1
342,3,3,2,2,1
343,4,1,2,3,1
344,3,1,2,2,2
345,0,5,2,2,1
346,3,3,2,2,2
347,10,1,2,2,2
348,10,4,3,3,1
349,10,4,3,3,1
350,4,3,3,2,1
351,3,2,3,2,1
352,1,1,2,2,1
353,10,1,3,3,1
354,3,2,2,2,1
355,3,1,2,2,1
356,1,5,3,3,1
357,3,2,2,2,1
358,1,4,2,2,1
359,1,5,3,2,1
360,8,5,3,3,1
361,4,2,2,2,1
362,1,1,3,3,1
363,0,5,3,3,1
364,0,4,3,3,3
365,4,3,2,1,1
366,4,3,3,1,1
367,3,2,1,2,1
368,4,2,2,2,1
369,3,2,2,2,2
370,4,3,2,2,3
371,4,2,2,2,3
372,3,3,2,2,1
373,4,2,3,2,1
374,12,5,2,2,2
375,4,2,2,2,1
376,1,2,3,3,1
377,1,2,3,2,1
378,1,1,3,2,1
379,4,5,2,1,2
380,1,3,3,3,1
381,10,4,2,2,1
382,4,3,3,2,1
383,4,3,3,2,1
384,4,3,2,3,1
385,3,5,2,3,2
386,1,1,3,3,1
387,3,5,3,3,1
388,3,3,2,2,2
389,14,1,3,3,1
390,1,1,3,2,1
391,1,2,2,2,2
392,11,4,3,3,1
393,4,3,3,2,2
394,1,1,2,2,2
395,1,2,3,3,2
396,8,5,3,3,2
397,4,2,2,1,1
398,3,3,3,2,1
399,10,1,3,2,1
400,6,1,3,2,1
401,4,2,1,1,2
402,1,2,2,2,1
403,10,4,3,3,2
404,4,3,2,2,1
405,6,1,3,2,2
406,1,3,2,2,1
407,4,2,3,3,1
408,1,3,3,3,1
409,1,3,3,3,1
410,10,1,3,2,2
411,4,5,3,2,1
412,4,2,3,3,1
413,4,3,1,1,1
414,4,5,3,3,1
415,3,3,2,2,3
416,1,4,3,3,1
417,1,2,2,2,1
418,1,1,2,2,1
419,1,1,3,3,1
420,1,1,3,2,3
421,1,3,2,2,3
422,1,2,2,2,1
423,1,1,3,2,1
424,3,2,2,3,1
425,1,4,2,2,1
426,4,3,3,2,1
427,1,1,3,2,2
428,1,3,2,3,1
429,4,2,3,2,1
430,4,3,3,2,1
431,3,3,3,2,2
432,1,3,2,2,2
433,1,1,3,2,2
434,10,2,3,2,1
435,4,3,3,2,2
436,10,1,3,2,1
437,3,3,2,2,1
438,1,5,3,3,1
439,3,1,3,3,1
440,4,2,3,2,1
441,0,2,2,2,1
442,4,5,3,2,2
443,4,5,3,2,2
444,1,4,2,3,1
445,4,2,3,3,1
446,1,3,2,2,1
447,3,1,2,2,1
448,4,1,3,2,1
449,0,4,2,3,1
450,1,2,3,2,1
451,3,2,2,2,1
452,1,2,3,3,1
453,8,5,3,3,1
454,4,3,2,1,1
455,3,5,3,2,2
456,3,2,1,2,1
457,4,4,2,2,1
458,14,1,3,3,1
459,1,2,3,2,1
460,1,1,2,3,2
461,1,2,3,2,1
462,4,2,1,1,1
463,11,5,3,3,1
464,4,2,2,2,3
465,10,4,2,3,1
466,1,2,2,3,1
467,3,1,2,2,2
468,1,4,2,2,1
469,3,1,3,3,3
470,1,5,3,2,1
471,1,3,2,1,2
472,12,4,3,3,1
473,4,1,3,2,1
474,1,3,3,2,1
475,14,1,3,3,1
476,1,1,2,2,2
477,10,1,3,3,1
478,3,3,2,1,1
479,14,4,2,3,1
480,4,2,3,2,2
481,8,3,3,2,1
482,3,2,1,1,1
483,1,1,3,3,1
484,3,3,2,2,1
485,10,1,3,3,1
486,4,3,2,2,1
487,4,4,3,2,1
488,1,3,2,2,3
489,1,2,2,2,1
490,1,1,3,3,1
491,1,2,3,2,2
492,1,1,2,2,1
493,10,4,2,3,2
494,11,5,3,3,1
495,1,3,3,3,1
496,8,5,3,3,1
497,3,3,1,1,2
498,3,1,2,1,1
499,11,5,3,3,1
500,15,4,3,3,1
501,1,2,3,2,1
502,4,1,3,2,1
503,1,1,3,3,1
504,3,1,3,2,1
505,4,3,3,2,1
506,4,2,3,2,2
507,0,2,3,2,2
508,4,3,3,2,1
509,1,1,2,3,1
510,10,4,2,3,1
511,4,5,3,3,1
512,8,5,3,2,2
513,3,2,3,2,1
514,4,3,2,1,1
515,1,5,3,3,1
516,3,4,2,2,1
517,8,3,2,1,2
518,10,1,2,2,2
519,1,1,2,2,1
520,1,3,3,3,1
521,4,2,3,2,1
522,4,2,2,1,1
523,3,3,3,1,1
524,4,3,3,1,1
525,0,1,3,2,1
526,1,3,3,3,1
527,4,1,3,2,1
528,14,1,3,2,1
529,10,1,3,2,2
530,11,5,3,3,1
531,6,4,3,3,1
532,3,3,1,1,1
533,10,5,3,2,1
534,10,1,2,3,1
535,3,3,2,1,1
536,3,1,2,3,1
537,1,3,2,2,1
538,8,1,3,2,1
539,10,1,3,3,1
540,10,4,3,3,2
541,1,4,2,3,2
542,1,1,3,3,1
543,1,2,3,3,3
544,1,2,3,2,1
545,1,1,3,2,1
546,0,2,2,3,3
547,10,2,2,2,1
548,1,5,3,3,1
549,3,4,1,1,1
550,1,4,2,3,1
551,0,1,2,2,1
552,14,1,3,2,1
553,1,1,2,2,2
554,10,4,3,3,1
555,10,1,3,3,1
556,1,3,3,3,1
557,1,2,3,2,3
558,3,1,1,1,1
559,4,5,2,2,1
560,1,5,3,2,2
561,4,2,2,1,1
562,3,5,3,3,2
563,4,1,3,3,1
564,4,2,1,1,1
565,4,5,3,3,1
566,1,3,2,3,1
567,4,3,3,2,1
568,4,1,3,3,1
569,3,1,3,3,1
570,1,2,3,3,1
571,4,2,2,2,1
572,4,3,2,2,1
573,3,5,3,3,1
574,10,1,3,3,1
575,1,2,1,2,1
576,4,2,2,2,1
577,4,5,3,3,1
578,1,5,3,3,1
579,3,1,2,2,1
580,1,1,2,3,1
581,3,3,2,2,3
582,14,4,3,3,1
583,10,3,2,2,3
584,1,2,3,2,1
585,4,5,2,2,2
586,1,2,1,1,1
587,3,3,3,2,1
