LID , TA , TE , ED , PAFRAC , PR , PRD , SHEI
tile_0006 ,     121.6880 ,   11851.1640 ,      97.3897 ,       1.3014 ,       5.0000 ,       4.1089 ,       0.8156
tile_0014 ,    4624.3083 ,  636384.6060 ,     137.6173 ,       1.3294 ,      15.0000 ,       0.3244 ,       0.7655
tile_0004 ,     182.7369 ,   17290.1040 ,      94.6175 ,       1.2543 ,       6.0000 ,       3.2834 ,       0.6769
tile_0008 ,    1817.3715 ,  164456.3700 ,      90.4913 ,       1.3292 ,      12.0000 ,       0.6603 ,       0.4897
tile_0001 ,       1.1472 ,       0.0000 ,       0.0000 , N/A ,       1.0000 ,      87.1667 ,       0.0000
tile_0011 ,    7229.6608 ,  903493.8120 ,     124.9704 ,       1.3378 ,      13.0000 ,       0.1798 ,       0.7037
tile_0007 ,    1171.2368 ,  164857.1340 ,     140.7547 ,       1.3590 ,       9.0000 ,       0.7684 ,       0.7335
tile_0012 ,    4251.0497 ,  599628.8220 ,     141.0543 ,       1.3469 ,      12.0000 ,       0.2823 ,       0.6371
tile_0002 ,      19.2570 ,    3263.3640 ,     169.4636 ,       1.4458 ,       3.0000 ,      15.5787 ,       0.9746
tile_0003 ,     100.1365 ,   16860.7140 ,     168.3773 ,       1.3145 ,       5.0000 ,       4.9932 ,       0.8506
tile_0009 ,    2228.6524 ,  188902.9740 ,      84.7611 ,       1.3435 ,       8.0000 ,       0.3590 ,       0.4280
tile_0005 ,       0.1639 ,       0.0000 ,       0.0000 , N/A ,       1.0000 ,     610.1669 ,       0.0000
tile_0013 ,    1479.3493 ,  138378.0840 ,      93.5398 ,       1.3355 ,      12.0000 ,       0.8112 ,       0.5697
tile_0015 ,    4517.4523 ,  564876.8580 ,     125.0432 ,       1.3363 ,      12.0000 ,       0.2656 ,       0.6413
tile_0020 ,    5846.8425 ,  682701.4740 ,     116.7641 ,       1.3408 ,      12.0000 ,       0.2052 ,       0.5473
tile_0018 ,   10747.6325 , 1463189.3640 ,     136.1406 ,       1.3159 ,      14.0000 ,       0.1303 ,       0.8095
tile_0010 ,       2.2945 ,     372.1380 ,     162.1902 , N/A ,       4.0000 ,     174.3334 ,       0.8033
tile_0016 ,     404.0697 ,   47719.5420 ,     118.0973 ,       1.3197 ,       7.0000 ,       1.7324 ,       0.6969
tile_0022 ,    7800.3243 ,  978408.0540 ,     125.4317 ,       1.3346 ,       9.0000 ,       0.1154 ,       0.6022
tile_0019 ,    1242.6108 ,  167204.4660 ,     134.5590 ,       1.3319 ,      12.0000 ,       0.9657 ,       0.7076
tile_0017 ,     167.9049 ,   12938.9520 ,      77.0612 ,       1.3292 ,       6.0000 ,       3.5735 ,       0.5237
tile_0021 ,      67.7683 ,   10276.7340 ,     151.6451 ,       1.3380 ,       4.0000 ,       5.9025 ,       0.6922
