LID , PID , TYPE , AREA
hab ,1, nonhabitat ,3589.0178
hab ,5, nonhabitat ,0.0819
hab ,6, nonhabitat ,0.9014
hab ,7, nonhabitat ,1.3111
hab ,9, nonhabitat ,5.0806
hab ,10, nonhabitat ,36.5474
hab ,12, nonhabitat ,0.3278
hab ,15, nonhabitat ,4.1792
hab ,16, nonhabitat ,0.6556
hab ,17, nonhabitat ,43.103
hab ,19, nonhabitat ,0.0819
hab ,21, nonhabitat ,0.1639
hab ,22, nonhabitat ,0.0819
hab ,23, nonhabitat ,0.0819
hab ,25, nonhabitat ,0.0819
hab ,26, nonhabitat ,0.0819
hab ,27, nonhabitat ,0.5736
hab ,28, nonhabitat ,4.507
hab ,29, nonhabitat ,0.0819
hab ,30, nonhabitat ,1.7208
hab ,31, nonhabitat ,0.0819
hab ,33, nonhabitat ,0.0819
hab ,34, nonhabitat ,0.0819
hab ,35, nonhabitat ,0.1639
hab ,39, nonhabitat ,0.0819
hab ,40, nonhabitat ,0.0819
hab ,42, nonhabitat ,0.1639
hab ,43, nonhabitat ,0.0819
hab ,44, nonhabitat ,0.0819
hab ,45, nonhabitat ,0.0819
hab ,46, nonhabitat ,0.0819
hab ,47, nonhabitat ,0.2458
hab ,48, nonhabitat ,0.0819
hab ,49, nonhabitat ,0.0819
hab ,50, nonhabitat ,0.0819
hab ,51, nonhabitat ,0.0819
hab ,52, nonhabitat ,0.1639
hab ,54, nonhabitat ,0.4917
hab ,56, nonhabitat ,0.0819
hab ,57, nonhabitat ,0.0819
hab ,59, nonhabitat ,0.0819
hab ,60, nonhabitat ,0.1639
hab ,61, nonhabitat ,0.2458
hab ,62, nonhabitat ,0.0819
hab ,64, nonhabitat ,0.0819
hab ,65, nonhabitat ,0.9014
hab ,66, nonhabitat ,0.0819
hab ,67, nonhabitat ,2.6222
hab ,68, nonhabitat ,0.0819
hab ,69, nonhabitat ,0.0819
hab ,71, nonhabitat ,0.1639
hab ,72, nonhabitat ,0.0819
hab ,74, nonhabitat ,0.1639
hab ,77, nonhabitat ,0.1639
hab ,78, nonhabitat ,0.1639
hab ,80, nonhabitat ,0.0819
hab ,81, nonhabitat ,0.2458
hab ,82, nonhabitat ,0.0819
hab ,83, nonhabitat ,0.2458
hab ,84, nonhabitat ,0.1639
hab ,85, nonhabitat ,3.8514
hab ,87, nonhabitat ,0.2458
hab ,88, nonhabitat ,0.0819
hab ,89, nonhabitat ,0.7375
hab ,90, nonhabitat ,0.0819
hab ,91, nonhabitat ,0.0819
hab ,92, nonhabitat ,0.0819
hab ,93, nonhabitat ,2.7861
hab ,94, nonhabitat ,0.2458
hab ,95, nonhabitat ,0.0819
hab ,96, nonhabitat ,0.0819
hab ,97, nonhabitat ,0.0819
hab ,99, nonhabitat ,0.0819
hab ,100, nonhabitat ,0.0819
