LID , TYPE , TCA , CPLAND , NDCA , CWED
\\esm.ucsb.edu\mesm\co2022\brianna_baker\ArcGIS\esm215\burmes\burmesveg15.tif , Urban ,    1156.4048 ,      11.2027 ,     230.0000 ,       4.5925
\\esm.ucsb.edu\mesm\co2022\brianna_baker\ArcGIS\esm215\burmes\burmesveg15.tif , Mixed Chaparral ,    1450.8325 ,      14.0549 ,     169.0000 ,       5.8204
\\esm.ucsb.edu\mesm\co2022\brianna_baker\ArcGIS\esm215\burmes\burmesveg15.tif , Eucalyptus ,      19.5848 ,       0.1897 ,      25.0000 ,       1.3845
\\esm.ucsb.edu\mesm\co2022\brianna_baker\ArcGIS\esm215\burmes\burmesveg15.tif , Coastal Scrub ,    1420.9226 ,      13.7652 ,     335.0000 ,      12.9474
\\esm.ucsb.edu\mesm\co2022\brianna_baker\ArcGIS\esm215\burmes\burmesveg15.tif , Barren ,     278.3664 ,       2.6967 ,     792.0000 ,       7.4455
\\esm.ucsb.edu\mesm\co2022\brianna_baker\ArcGIS\esm215\burmes\burmesveg15.tif , Coastal Oak Woodland ,    1081.3434 ,      10.4755 ,     252.0000 ,       6.8862
\\esm.ucsb.edu\mesm\co2022\brianna_baker\ArcGIS\esm215\burmes\burmesveg15.tif , Annual Grassland ,     728.8989 ,       7.0612 ,     257.0000 ,       9.6381
\\esm.ucsb.edu\mesm\co2022\brianna_baker\ArcGIS\esm215\burmes\burmesveg15.tif , Closed-Cone Pine ,     179.3771 ,       1.7377 ,      35.0000 ,       0.9272
\\esm.ucsb.edu\mesm\co2022\brianna_baker\ArcGIS\esm215\burmes\burmesveg15.tif , Pasture ,     957.6068 ,       9.2768 ,     169.0000 ,       2.9273
\\esm.ucsb.edu\mesm\co2022\brianna_baker\ArcGIS\esm215\burmes\burmesveg15.tif , Vineyard ,      10.3250 ,       0.1000 ,      31.0000 ,       0.0249
\\esm.ucsb.edu\mesm\co2022\brianna_baker\ArcGIS\esm215\burmes\burmesveg15.tif , Cropland and hayfield ,       0.5736 ,       0.0056 ,       6.0000 ,       0.0586
\\esm.ucsb.edu\mesm\co2022\brianna_baker\ArcGIS\esm215\burmes\burmesveg15.tif , Orchard ,      81.6990 ,       0.7915 ,     114.0000 ,       0.6087
\\esm.ucsb.edu\mesm\co2022\brianna_baker\ArcGIS\esm215\burmes\burmesveg15.tif , Montane Hardwood-Conifer ,      22.8626 ,       0.2215 ,       2.0000 ,       0.0902
\\esm.ucsb.edu\mesm\co2022\brianna_baker\ArcGIS\esm215\burmes\burmesveg15.tif , Lacustrine ,       3.2778 ,       0.0318 ,       3.0000 ,       0.0760
\\esm.ucsb.edu\mesm\co2022\brianna_baker\ArcGIS\esm215\burmes\burmesveg15.tif , Valley Foothill Riparian ,      51.7072 ,       0.5009 ,      28.0000 ,       2.1701
